Zone ID,FC Abbreviation,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time,Dispatch Date / Time
2f786aff-25c0-40d4-9fcb-8bfb1f06b018,LA,TUS: THURSDAY PM,New Years,1/5/2023,1/6/2023,"Friday, 12/30 - 02:00 PM","Tuesday, 01/03 - 11:00 AM","Tuesday, 01/03 - 03:00 PM"
39291ca9-0e7e-458c-bfde-36f900bb33dd,BWI,PIT: Employee Warehouse Pick Up: Tue 7:00AM - 9:00PM EDT,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
0f6dfcda-fca3-4bf7-a6a7-3c37850f7916,LA,SAC: WEDNESDAY PM LAX,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 03:00 PM"
68ddecb0-f0f5-49f4-99a6-8e1d0a3cf575,LA,EBY: WEDNESDAY / THURSDAY PM LAX,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
728184f4-86bb-452c-9ac7-5c6a76726e3d,LA,SAC: THURSDAY PM LAX,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Tuesday, 01/03 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
b252c8e1-2692-4590-a43a-01c9533d6056,LA,RNO: WEDNESDAY PM LAX,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 03:00 PM"
f7cb92de-d15b-46be-a5ca-6bfa9b8316e1,LA,SFO: MONDAY / TUESDAY PM LAX,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Sunday, 01/01 - 03:00 PM"
3fa520ea-62a5-4d07-b246-d47002bd93db,LA,SAC: FRIDAY PM LAX,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
9e6a5de8-d798-43b8-8d4d-f4879e65dd55,LA,EBY: FRIDAY PM LAX,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
3961712f-a445-4f02-b158-06bfbc5377a4,CHI,KCI: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
9f7b249d-067e-4449-8603-d56ec71f687f,BWI,BWI: Employee Warehouse Pick Up,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
c6036be2-2011-470b-b709-0ad609afc2b3,PNW,BOI: THURSDAY PM,New Years,1/4/2023,1/6/2023,"Friday, 12/30 - 02:00 PM","Monday, 01/02 - 11:00 AM","Monday, 01/02 - 05:00 PM"
61b4aeb5-730b-467e-97e3-7d3a0dc60ad0,PNW,BOI: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 02:00 PM","Saturday, 12/31 - 11:00 AM","Saturday, 12/31 - 05:00 PM"
37b45486-b428-49fc-878c-d2f7c56487a6,CHI,DTW: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 02:00 PM","Monday, 01/02 - 11:00 AM","Monday, 01/02 - 05:00 PM"
b371e3ec-533f-4931-ae5c-ddb9e29ff53d,PNW,EUG: WEDNESDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
bedae23d-81bc-4dd7-b07a-39a855ed4368,BWI,CLE: Employee Warehouse Pick Up,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
a6ba9f10-e4d3-4f8f-ad01-0a15616da8ce,SAT,SAT: Employee Warehouse Pick Up,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
44e6b6be-b3fe-4872-a09a-5ff90ec69cf0,LA,LAS: Employee Warehouse Pick Up,New Years,1/5/2023,1/6/2023,"Friday, 12/30 - 03:00 PM","Tuesday, 01/03 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
6a30695d-c456-4dd0-995a-510eb97239c0,PNW,BLI: THURSDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
54216262-2823-4ca6-a08f-35d48a076607,CHI,MKE: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
6adabf61-cb11-4fa7-991f-79f24e8866f2,LA,SBA: Employee Warehouse Pick Up,New Years,1/4/2023,1/5/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
729203b9-02da-4862-acf1-a13787d48fb8,SAT,IAH: Employee Warehouse Pick Up,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
2c9fdf4b-b11f-46aa-8881-15894b71f1fb,LA,LAS: TUESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 03:00 PM"
a1668dfb-c0a2-47de-ab17-2c4445a01934,PNW,BLI: Employee Warehouse Pick Up,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
cc738d76-6e5f-4ec0-89d2-76b0b293d583,SAT,OKC: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
0e3eeed0-ad8d-49eb-ac2b-c9ad2fae76bf,PNW,BOI: Employee Warehouse Pickup,New Years,1/4/2023,1/6/2023,"Friday, 12/30 - 02:00 PM","Monday, 01/02 - 11:00 AM","Monday, 01/02 - 05:00 PM"
74436f9a-a259-4e9f-9271-46ae2efeee43,BWI,HAR: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
868eb2e9-b571-446d-a064-1556485afed1,CHI,NWI: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
